rb	sig	y	p	pf
0.5	1	0.5	0.40448162597216336	0.367714800652029
0.5	1	1	0.5759956687941667	0.5454606778757
0.5	1	1.5	0.2434893505187623	0
0.5	1	2	0.21116006035000046	0.15164955422677553
0.5	1	2.5	0.054921167029259275	0
0.5	1	3	0.016663494807363465	0
0.5	1	3.5	0.0038281094568200493	0
0.5	1	4	6.709252558050238e-4	0
0.5	1	4.5	9.014691913413995e-5	0
0.5	1	5	9.31663293019667e-6	0
0.5	1	5.5	7.42384088424829e-7	0
0.5	1	6	4.5689939234137864e-8	0
0.5	1	6.5	2.174765479670157e-9	0
0.5	1	7	8.014071959759422e-11	0
0.5	1	7.5	2.288226254101993e-12	0
0.5	1	8	5.0656662196376626e-14	0
0.5	1	8.5	8.699629780947876e-16	0
0.5	1	9	1.1595406991197442e-17	0
0.5	1	9.5	1.1999277959397036e-19	0
0.5	1	10	9.643749239819566e-22	0
1	1	0.5	0.39425396082674635	0.347259470361195
1	1	1	0.5690284354287616	0.5315262111448897
1	1	1.5	0.48298300007465794	0.4789872991117913
1	1	2	0.23116809408344785	0.1916656216936703
1	1	2.5	0.054921167029259275	0
1	1	3	0.016663494807363465	0
1	1	3.5	0.011401406292029459	0.015146593670418821
1	1	4	0.002365036269190734	0.0033882220267714203
1	1	4.5	9.014691913413995e-5	0
1	1	5	9.31663293019667e-6	0
1	1	5.5	7.42384088424829e-7	0
1	1	6	4.5689939234137864e-8	0
1	1	6.5	2.174765479670157e-9	0
1	1	7	8.014071959759422e-11	0
1	1	7.5	2.288226254101993e-12	0
1	1	8	5.0656662196376626e-14	0
1	1	8.5	8.699629780947876e-16	0
1	1	9	1.1595406991197442e-17	0
1	1	9.5	1.1999277959397036e-19	0
1	1	10	9.643749239819566e-22	0
2	1	0.5	0.35310449084819345	0.2649605304040892
2	1	1	0.512942292237157	0.4193539247616807
2	1	1.5	0.4338064459363872	0.3806341908352498
2	1	2	0.2941695271446568	0.31766848781608814
2	1	2.5	0.15080855031404092	0.19177476656956327
2	1	3	0.07709420699212052	0.12086142436951411
2	1	3.5	0.028429563173682604	0.04920290743372511
2	1	4	0.009527305942946434	0.01771276137428282
2	1	4.5	0.0026544942928080897	0.005128694747347899
2	1	5	9.31663293019667e-6	0
2	1	5.5	7.42384088424829e-7	0
2	1	6	4.5689939234137864e-8	0
2	1	6.5	2.174765479670157e-9	0
2	1	7	8.014071959759422e-11	0
2	1	7.5	2.288226254101993e-12	0
2	1	8	5.0656662196376626e-14	0
2	1	8.5	8.699629780947876e-16	0
2	1	9	1.1595406991197442e-17	0
2	1	9.5	1.1999277959397036e-19	0
2	1	10	9.643749239819566e-22	0
5	1	0.5	0.27572759425521126	0.11020673721812484
5	1	1	0.3991811737673308	0.1918316878220282
5	1	1.5	0.35600579466899684	0.22503288830046914
5	1	2	0.24830643184243173	0.22594229721163805
5	1	2.5	0.16529798058485687	0.2207536271111952
5	1	3	0.10717446440346419	0.18102193919220144
5	1	3.5	0.0954111559175738	0.1831660929215075
5	1	4	0.08908189149080376	0.17682193246999747
5	1	4.5	0.07371597108087903	0.14725164832348978
5	1	5	0.05404227668685603	0.10806592010785167
5	1	5.5	0.027166460987137583	0.054331437206098315
5	1	6	0.018069307161787354	0.03613852294369624
5	1	6.5	2.174765479670157e-9	0
5	1	7	8.014071959759422e-11	0
5	1	7.5	2.288226254101993e-12	0
5	1	8	5.0656662196376626e-14	0
5	1	8.5	8.699629780947876e-16	0
5	1	9	1.1595406991197442e-17	0
5	1	9.5	1.1999277959397036e-19	0
5	1	10	9.643749239819566e-22	0
10	1	0.5	0.2456660614616329	0.05008367163096805
10	1	1	0.3512317968290436	0.09593293394545382
10	1	1.5	0.290710428262956	0.09444215548838739
10	1	2	0.1916889149923257	0.11270726351142599
10	1	2.5	0.10323922485473236	0.09663611565094615
10	1	3	0.08021705855686126	0.12710712749899558
10	1	3.5	0.061392414362110154	0.11512860981058021
10	1	4	0.035249637811881285	0.06915742511215252
10	1	4.5	0.01723841420171513	0.03429653456516198
10	1	5	0.030606991455554143	0.06119534964524789
10	1	5.5	0.029515223636239294	0.05902896250430174
10	1	6	0.030439727213245386	0.0608793630466123
10	1	6.5	0.030879685370353967	0.061759366391176976
10	1	7	0.03017969484187142	0.0603593895234614
10	1	7.5	0.029875786595934282	0.059751573187292115
10	1	8	0.029092610164819878	0.05818522032953844
10	1	8.5	8.699629780947876e-16	0
10	1	9	1.1595406991197442e-17	0
10	1	9.5	1.1999277959397036e-19	0
10	1	10	9.643749239819566e-22	0
